im,lm,tp,tm,ne,ns,nt
1.0,0.0,0.0,0.0,1,0,69
2.0,0.0,0.0,0.5,15,4,51
3.0,0.0,0.0,0.75,35,2,33
4.0,0.0,0.0,1.0,41,4,25
5.0,0.0,0.5,0.0,3,2,65
6.0,0.0,0.5,0.5,2,5,63
7.0,0.0,0.5,0.75,7,2,61
8.0,0.0,0.5,1.0,4,3,63
9.0,0.0,0.75,0.0,1,2,67
10.0,0.0,0.75,0.5,5,2,63
11.0,0.0,0.75,0.75,4,3,63
12.0,0.0,0.75,1.0,3,2,65
13.0,0.0,1.0,0.0,1,3,66
14.0,0.0,1.0,0.5,4,3,63
15.0,0.0,1.0,0.75,1,4,65
16.0,0.0,1.0,1.0,4,1,65
17.0,0.25,0.0,0.0,52,17,1
18.0,0.25,0.0,0.5,60,9,1
19.0,0.25,0.0,0.75,63,6,1
20.0,0.25,0.0,1.0,58,11,1
21.0,0.25,0.5,0.0,4,35,31
22.0,0.25,0.5,0.5,5,33,32
23.0,0.25,0.5,0.75,1,33,36
24.0,0.25,0.5,1.0,4,28,38
25.0,0.25,0.75,0.0,3,26,41
26.0,0.25,0.75,0.5,4,17,49
27.0,0.25,0.75,0.75,5,17,48
28.0,0.25,0.75,1.0,6,18,46
29.0,0.25,1.0,0.0,1,20,49
30.0,0.25,1.0,0.5,2,14,54
31.0,0.25,1.0,0.75,3,19,48
32.0,0.25,1.0,1.0,3,16,51
33.0,0.5,0.0,0.0,60,9,1
34.0,0.5,0.0,0.5,62,7,1
35.0,0.5,0.0,0.75,63,7,0
36.0,0.5,0.0,1.0,65,5,0
37.0,0.5,0.5,0.0,5,63,2
38.0,0.5,0.5,0.5,6,61,3
39.0,0.5,0.5,0.75,6,60,4
40.0,0.5,0.5,1.0,9,59,2
41.0,0.5,0.75,0.0,0,66,4
42.0,0.5,0.75,0.5,3,66,1
43.0,0.5,0.75,0.75,2,64,4
44.0,0.5,0.75,1.0,3,60,7
45.0,0.5,1.0,0.0,0,63,7
46.0,0.5,1.0,0.5,1,64,5
47.0,0.5,1.0,0.75,2,60,8
48.0,0.5,1.0,1.0,1,58,11
49.0,1.0,0.0,0.0,65,2,3
50.0,1.0,0.0,0.5,63,4,3
51.0,1.0,0.0,0.75,66,3,1
52.0,1.0,0.0,1.0,65,4,1
53.0,1.0,0.5,0.0,29,39,2
54.0,1.0,0.5,0.5,26,43,1
55.0,1.0,0.5,0.75,28,40,2
56.0,1.0,0.5,1.0,29,40,1
57.0,1.0,0.75,0.0,15,54,1
58.0,1.0,0.75,0.5,19,49,2
59.0,1.0,0.75,0.75,15,55,0
60.0,1.0,0.75,1.0,17,52,1
61.0,1.0,1.0,0.0,13,53,4
62.0,1.0,1.0,0.5,13,54,3
63.0,1.0,1.0,0.75,14,53,3
64.0,1.0,1.0,1.0,9,58,3
