im,lm,tp,tm,ne,ns,nt
1.0,0.0,0.0,0.0,1,6,66
2.0,0.0,0.0,0.5,49,3,21
3.0,0.0,0.0,0.75,67,2,4
4.0,0.0,0.0,1.0,66,2,5
5.0,0.0,0.5,0.0,4,5,64
6.0,0.0,0.5,0.5,11,8,54
7.0,0.0,0.5,0.75,23,10,40
8.0,0.0,0.5,1.0,30,7,36
9.0,0.0,0.75,0.0,1,6,66
10.0,0.0,0.75,0.5,7,8,58
11.0,0.0,0.75,0.75,18,9,46
12.0,0.0,0.75,1.0,20,9,44
13.0,0.0,1.0,0.0,1,10,62
14.0,0.0,1.0,0.5,7,5,61
15.0,0.0,1.0,0.75,11,7,55
16.0,0.0,1.0,1.0,18,5,50
17.0,0.25,0.0,0.0,45,26,2
18.0,0.25,0.0,0.5,61,5,7
19.0,0.25,0.0,0.75,65,6,2
20.0,0.25,0.0,1.0,65,5,3
21.0,0.25,0.5,0.0,1,52,20
22.0,0.25,0.5,0.5,8,50,15
23.0,0.25,0.5,0.75,17,39,17
24.0,0.25,0.5,1.0,26,30,17
25.0,0.25,0.75,0.0,3,42,28
26.0,0.25,0.75,0.5,9,36,28
27.0,0.25,0.75,0.75,12,36,25
28.0,0.25,0.75,1.0,18,31,24
29.0,0.25,1.0,0.0,2,33,38
30.0,0.25,1.0,0.5,7,35,31
31.0,0.25,1.0,0.75,6,37,30
32.0,0.25,1.0,1.0,16,30,27
33.0,0.5,0.0,0.0,53,19,1
34.0,0.5,0.0,0.5,63,8,2
35.0,0.5,0.0,0.75,68,4,1
36.0,0.5,0.0,1.0,62,10,1
37.0,0.5,0.5,0.0,7,61,5
38.0,0.5,0.5,0.5,7,62,4
39.0,0.5,0.5,0.75,15,56,2
40.0,0.5,0.5,1.0,12,57,4
41.0,0.5,0.75,0.0,1,70,2
42.0,0.5,0.75,0.5,9,62,2
43.0,0.5,0.75,0.75,8,61,4
44.0,0.5,0.75,1.0,12,53,8
45.0,0.5,1.0,0.0,5,62,6
46.0,0.5,1.0,0.5,3,63,7
47.0,0.5,1.0,0.75,8,58,7
48.0,0.5,1.0,1.0,12,54,7
49.0,1.0,0.0,0.0,67,5,1
50.0,1.0,0.0,0.5,67,4,2
51.0,1.0,0.0,0.75,68,4,1
52.0,1.0,0.0,1.0,70,3,0
53.0,1.0,0.5,0.0,29,42,2
54.0,1.0,0.5,0.5,32,40,1
55.0,1.0,0.5,0.75,34,39,0
56.0,1.0,0.5,1.0,33,37,3
57.0,1.0,0.75,0.0,21,52,0
58.0,1.0,0.75,0.5,24,46,3
59.0,1.0,0.75,0.75,19,53,1
60.0,1.0,0.75,1.0,28,45,0
61.0,1.0,1.0,0.0,11,59,3
62.0,1.0,1.0,0.5,7,65,1
63.0,1.0,1.0,0.75,15,55,3
64.0,1.0,1.0,1.0,10,61,2
