im,lm,tp,tm,ct
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Occlusion
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Shadow
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
6.0,0.0,0.5,0.5,Texture
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Occlusion
7.0,0.0,0.5,0.75,Shadow
7.0,0.0,0.5,0.75,Shadow
7.0,0.0,0.5,0.75,Shadow
7.0,0.0,0.5,0.75,Shadow
7.0,0.0,0.5,0.75,Shadow
7.0,0.0,0.5,0.75,Shadow
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
7.0,0.0,0.5,0.75,Texture
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Occlusion
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Shadow
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
8.0,0.0,0.5,1.0,Texture
9.0,0.0,0.75,0.0,Occlusion
9.0,0.0,0.75,0.0,Occlusion
9.0,0.0,0.75,0.0,Shadow
9.0,0.0,0.75,0.0,Shadow
9.0,0.0,0.75,0.0,Shadow
9.0,0.0,0.75,0.0,Shadow
9.0,0.0,0.75,0.0,Shadow
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
9.0,0.0,0.75,0.0,Texture
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Occlusion
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Shadow
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
10.0,0.0,0.75,0.5,Texture
