im,lm,tp,tm,ne,ns,nt
1.0,0.0,0.0,0.0,1,5,65
2.0,0.0,0.0,0.5,21,4,46
3.0,0.0,0.0,0.75,39,2,30
4.0,0.0,0.0,1.0,46,3,22
5.0,0.0,0.5,0.0,2,2,67
6.0,0.0,0.5,0.5,6,4,61
7.0,0.0,0.5,0.75,12,6,53
8.0,0.0,0.5,1.0,21,4,46
9.0,0.0,0.75,0.0,1,8,62
10.0,0.0,0.75,0.5,8,3,60
11.0,0.0,0.75,0.75,12,1,58
12.0,0.0,0.75,1.0,17,3,51
13.0,0.0,1.0,0.0,2,3,66
14.0,0.0,1.0,0.5,4,6,61
15.0,0.0,1.0,0.75,8,4,59
16.0,0.0,1.0,1.0,12,3,56
17.0,0.25,0.0,0.0,48,21,2
18.0,0.25,0.0,0.5,53,17,1
19.0,0.25,0.0,0.75,60,9,2
20.0,0.25,0.0,1.0,59,9,3
21.0,0.25,0.5,0.0,3,45,23
22.0,0.25,0.5,0.5,5,46,20
23.0,0.25,0.5,0.75,5,41,25
24.0,0.25,0.5,1.0,12,40,19
25.0,0.25,0.75,0.0,4,39,28
26.0,0.25,0.75,0.5,2,47,22
27.0,0.25,0.75,0.75,3,46,22
28.0,0.25,0.75,1.0,11,31,29
29.0,0.25,1.0,0.0,1,29,41
30.0,0.25,1.0,0.5,2,31,38
31.0,0.25,1.0,0.75,6,36,29
32.0,0.25,1.0,1.0,8,36,27
33.0,0.5,0.0,0.0,53,13,5
34.0,0.5,0.0,0.5,59,11,1
35.0,0.5,0.0,0.75,61,9,1
36.0,0.5,0.0,1.0,62,7,2
37.0,0.5,0.5,0.0,3,66,2
38.0,0.5,0.5,0.5,3,66,2
39.0,0.5,0.5,0.75,5,61,5
40.0,0.5,0.5,1.0,9,60,2
41.0,0.5,0.75,0.0,2,65,4
42.0,0.5,0.75,0.5,1,64,6
43.0,0.5,0.75,0.75,6,63,2
44.0,0.5,0.75,1.0,4,63,4
45.0,0.5,1.0,0.0,1,64,6
46.0,0.5,1.0,0.5,5,61,5
47.0,0.5,1.0,0.75,0,65,6
48.0,0.5,1.0,1.0,1,63,7
49.0,1.0,0.0,0.0,64,5,2
50.0,1.0,0.0,0.5,65,4,2
51.0,1.0,0.0,0.75,67,3,1
52.0,1.0,0.0,1.0,63,6,2
53.0,1.0,0.5,0.0,29,40,2
54.0,1.0,0.5,0.5,33,36,2
55.0,1.0,0.5,0.75,33,37,1
56.0,1.0,0.5,1.0,27,43,1
57.0,1.0,0.75,0.0,17,52,2
58.0,1.0,0.75,0.5,26,43,2
59.0,1.0,0.75,0.75,27,42,2
60.0,1.0,0.75,1.0,25,45,1
61.0,1.0,1.0,0.0,13,53,5
62.0,1.0,1.0,0.5,21,48,2
63.0,1.0,1.0,0.75,21,50,0
64.0,1.0,1.0,1.0,18,51,2
